filename,base_id,ocr_name,ocr_date,ocr_lat,ocr_lon,storm_id,name,basin,matched_time,matched_lat,matched_lon,wind_speed_kt,pressure_hpa,match_time_diff_hours,match_dist_km,n_reference_files_matched,storm_min_dist_to_odisha_km,is_odisha_relevant,odisha_closest_approach_time,coastal_distance_km,district
75.jpeg,75,,2020-05-18 04:00:00,13.37,86.83,2020-001,AMPHAN,BOB,2020-05-18 00:00:00,13.2,86.3,100.0,952.0,4.0,61.9,1,71.3,True,2020-05-20 09:00:00,662.8,
118.jpeg,118,,2020-05-19 03:00:00,16.27,85.81,2020-001,AMPHAN,BOB,2020-05-19 03:00:00,16.0,86.8,120.0,930.0,0.0,114.2,1,71.3,True,2020-05-20 09:00:00,324.8,
31.jpeg,31,,,15.25,83.73,2013-008,HELEN,BOB,2013-11-20 18:00:00,15.4,83.7,45.0,996.0,,17.0,1,179.5,False,,344.7,
57.jpeg,57,,2013-11-26 04:00:00,11.72,89.41,2013-009,LEHAR,BOB,2013-11-26 06:00:00,12.5,89.5,70.0,982.0,2.0,87.2,3,211.9,False,,965.8,
34.jpeg,34,,2013-11-28 03:30:00,16.33,81.33,2013-009,LEHAR,BOB,2013-11-28 09:00:00,15.9,81.0,25.0,1002.0,5.5,60.2,2,211.9,False,,164.9,
111.jpeg,111,,2013-11-27 03:30:00,13.09,84.95,2013-009,LEHAR,BOB,2013-11-27 09:00:00,14.0,85.5,65.0,984.0,5.5,118.1,1,211.9,False,,620.0,
45.jpeg,45,,2013-05-14 03:00:00,14.37,84.69,2013-001,VIYARU,BOB,2013-05-14 06:00:00,14.0,85.5,40.0,994.0,3.0,99.1,5,240.7,False,,480.8,
41.jpeg,41,,2013-05-13 02:30:00,12.49,84.93,2013-001,VIYARU,BOB,2013-05-13 09:00:00,12.0,86.0,40.0,994.0,6.5,130.9,1,240.7,False,,678.3,
43.jpeg,43,,2013-05-13 03:00:00,12.57,85.24,2013-001,VIYARU,BOB,2013-05-13 15:00:00,12.5,86.0,40.0,994.0,12.0,85.0,2,240.7,False,,686.1,
47(1).jpeg,47,,2016-10-25 07:00:00,16.7,90.6,2016-006,KYANT,BOB,2016-10-25 09:00:00,16.8,90.6,35.0,998.0,2.0,11.1,5,298.8,False,,584.3,
40(1).jpeg,40,,2016-10-26 00:00:00,16.7,88.32,2016-006,KYANT,BOB,2016-10-26 03:00:00,16.6,88.5,40.0,996.0,3.0,22.9,4,298.8,False,,420.6,
25.jpeg,25,,2013-12-12 04:00:00,10.65,80.51,2013-010,MADI,BOB,2013-12-12 09:00:00,11.0,80.7,25.0,1000.0,5.0,44.2,1,359.7,False,,801.3,
56.jpeg,56,,,13.68,84.59,2013-010,MADI,BOB,2013-12-08 21:00:00,13.6,84.7,65.0,986.0,,15.1,1,359.7,False,,543.4,
98.jpeg,98,,,12.59,85.47,1987-007,,BOB,1987-10-31 12:00:00,12.5,85.5,35.0,993.0,,10.5,1,370.5,False,,696.5,
87.jpeg,87,,2017-05-30 02:00:00,20.91,91.09,2017-002,MORA,BOB,2017-05-30 00:00:00,21.1,91.8,60.0,978.0,2.0,81.8,1,478.6,False,,406.9,
60(1).jpeg,60,,2017-05-29 10:30:00,18.51,90.26,2017-002,MORA,BOB,2017-05-29 12:00:00,18.6,91.5,50.0,984.0,1.5,138.4,3,478.6,False,,430.7,
112.jpeg,112,,,14.03,83.66,2024-013,,BOB,2024-12-20 18:00:00,13.9,83.7,25.0,1003.0,,15.1,1,481.1,False,,466.0,
52(1).jpeg,52,,2020-06-03 06:00:00,18.31,72.83,2020-003,NISARGA,ARB,2020-06-03 06:00:00,18.1,72.8,60.0,984.0,0.0,23.5,2,512.9,False,,951.8,
58(1).jpeg,58,,,8.9,85.1,2022-013,MANDOUS,BOB,2022-12-07 12:00:00,8.9,85.0,30.0,998.0,,11.1,2,577.0,False,,1056.9,
55(1).jpeg,55,,2018-11-12 14:30:00,13.29,87.48,2018-013,GAJA,BOB,2018-11-12 18:00:00,13.2,87.5,45.0,996.0,3.5,10.2,3,626.5,False,,703.9,
30.jpeg,30,,2018-11-14 03:00:00,12.96,84.83,2018-013,GAJA,BOB,2018-11-14 06:00:00,12.8,84.8,45.0,996.0,3.0,18.1,2,626.5,False,,626.6,
44(2).jpeg,44,,2018-11-13 02:30:00,13.41,86.68,2018-013,GAJA,BOB,2018-11-13 06:00:00,13.5,86.6,40.0,998.0,3.5,13.4,4,626.5,False,,652.0,
91.jpeg,91,,2018-11-14 09:30:00,11.81,83.68,2018-013,GAJA,BOB,2018-11-14 18:00:00,12.0,83.8,45.0,996.0,8.5,25.0,1,626.5,False,,703.7,
38.jpeg,38,,2018-11-11 02:00:00,14.33,89.54,2018-013,GAJA,BOB,2018-11-11 03:00:00,13.5,88.9,35.0,999.0,1.0,116.5,1,626.5,False,,716.1,
86(2).jpeg,86,,2021-05-17 03:00:00,18.9,71.4,2021-002,TAUKTAE,ARB,2021-05-17 03:00:00,18.8,71.5,100.0,950.0,0.0,15.7,3,992.3,False,,1115.4,
53(2).jpeg,53,,2021-05-15 02:30:00,12.9,72.6,2021-002,TAUKTAE,ARB,2021-05-15 03:00:00,12.8,72.5,40.0,992.0,0.5,15.7,4,992.3,False,,1118.2,
82(1).jpeg,82,,2021-05-17 09:29:00,19.8,71.3,2021-002,TAUKTAE,ARB,2021-05-17 09:00:00,19.6,71.4,100.0,950.0,0.48,24.8,2,992.3,False,,1141.0,
74(2).jpeg,74,,2021-05-16 09:29:00,16.45,72.65,2021-002,TAUKTAE,ARB,2021-05-16 09:00:00,16.2,72.6,70.0,976.0,0.48,28.3,3,992.3,False,,982.2,
68(1).jpeg,68,,2021-05-16 03:00:00,15.15,72.9,2021-002,TAUKTAE,ARB,2021-05-16 00:00:00,15.0,72.7,65.0,979.0,3.0,27.8,2,992.3,False,,988.1,
63(2).jpeg,63,,2021-05-15 09:29:00,13.5,73.3,2021-002,TAUKTAE,ARB,2021-05-15 09:00:00,13.5,72.7,45.0,990.0,0.48,66.8,3,992.3,False,,1018.0,
50(1).jpeg,50,,2019-11-01 03:30:00,14.62,70.83,2019-008,MAHA,ARB,2019-11-01 03:00:00,14.8,71.0,55.0,990.0,0.5,27.5,3,1128.1,False,,1225.0,
99.jpeg,99,,,18.58,64.19,2019-008,MAHA,ARB,2019-11-04 06:00:00,18.6,64.3,90.0,966.0,,12.4,1,1128.1,False,,1911.2,
94.jpeg,94,,2019-06-14 03:30:00,21.12,68.38,2019-003,VAYU,ARB,2019-06-14 03:00:00,21.0,68.3,75.0,973.0,0.5,16.0,1,1198.4,False,,1489.1,
77(1).jpeg,77,,2019-06-13 05:00:00,20.66,69.02,2019-003,VAYU,ARB,2019-06-13 09:00:00,20.7,69.1,80.0,970.0,4.0,10.0,2,1198.4,False,,1408.2,
49(1).jpeg,49,,2019-06-11 03:30:00,14.58,71.21,2019-003,VAYU,ARB,2019-06-11 00:00:00,14.7,70.6,40.0,993.0,3.5,69.2,3,1198.4,False,,1186.0,
27.jpeg,27,,,13.76,64.49,2022-014,,ARB,2022-12-16 06:00:00,13.8,64.4,30.0,1000.0,,11.0,1,1393.9,False,,1929.5,
83(1).jpeg,83,,,13.88,68.3,2022-014,,ARB,2022-12-15 00:00:00,13.9,68.2,30.0,1000.0,,11.4,2,1393.9,False,,1517.6,
35(3).jpeg,35,,2021-09-30 04:00:00,22.7,69.55,2021-006,SHAHEEN,ARB,2021-09-30 00:00:00,22.7,69.5,25.0,998.0,4.0,5.6,4,1403.8,False,,1398.3,
32(1).jpeg,32,,2021-09-30 09:30:00,22.7,68.15,2021-006,SHAHEEN,ARB,2021-09-30 06:00:00,22.8,68.2,25.0,998.0,3.5,12.4,2,1403.8,False,,1550.4,
51.jpeg,51,,2014-06-13 04:15:00,18.28,62.8,2014-003,NANAUK,ARB,2014-06-13 00:00:00,18.4,62.9,45.0,988.0,4.25,17.4,2,1454.0,False,,2064.3,
46.jpeg,46,,2014-06-12 08:45:00,17.51,64.27,2014-003,NANAUK,ARB,2014-06-12 06:00:00,18.1,64.7,45.0,986.0,2.75,81.1,4,1454.0,False,,1900.8,
54.jpeg,54,,2018-10-14 01:00:00,15.13,53.75,2018-011,LUBAN,ARB,2018-10-13 18:00:00,15.0,53.7,40.0,996.0,7.0,15.5,1,1758.3,False,,3082.7,
84.jpeg,84,,2014-10-29 02:15:00,18.98,61.94,2014-007,NILOFAR,ARB,2014-10-29 09:00:00,19.0,62.0,90.0,968.0,6.75,7.0,2,1836.0,False,,2162.9,
66.jpeg,66,,2014-10-30 03:15:00,20.36,64.63,2014-007,NILOFAR,ARB,2014-10-30 12:00:00,20.5,64.6,40.0,1001.0,8.75,15.9,1,1836.0,False,,1881.6,
70.jpeg,70,,,15.8,61.6,2014-007,NILOFAR,ARB,2014-10-28 06:00:00,15.9,61.6,80.0,974.0,,11.1,1,1836.0,False,,2208.3,
61(2).jpeg,61,,,14.63,56.55,2007-009,,ARB,2007-02-11 03:00:00,14.5,56.5,25.0,1004.0,,15.5,3,1841.8,False,,2780.1,
85(2).jpeg,85,,2015-10-31 03:15:00,14.1,59.1,2015-010,CHAPALA,ARB,2015-10-31 03:00:00,13.8,59.2,110.0,946.0,0.25,35.1,3,1928.5,False,,2508.6,
81.jpeg,81,,,13.16,51.9,2015-010,CHAPALA,ARB,2015-11-02 03:00:00,13.2,52.2,95.0,960.0,,33.7,1,1928.5,False,,3314.2,
106.jpeg,106,,2018-05-24 03:30:00,13.48,55.74,2018-003,MEKUNU,ARB,2018-05-24 03:00:00,13.3,55.4,75.0,972.0,0.5,42.8,1,2743.4,False,,2887.8,
73.jpeg,73,,2018-05-23 03:30:00,11.4,55.67,2018-003,MEKUNU,ARB,2018-05-23 06:00:00,11.4,55.9,60.0,980.0,2.5,25.6,1,2743.4,False,,2942.7,
128.jpeg,128,,2018-05-25 03:00:00,15.06,54.16,2018-003,MEKUNU,ARB,2018-05-25 00:00:00,15.2,54.5,85.0,968.0,3.0,40.9,1,2743.4,False,,3038.2,
62.jpeg,62,,,12.74,55.85,2018-003,MEKUNU,ARB,2018-05-23 21:00:00,12.8,55.7,70.0,976.0,,18.0,1,2743.4,False,,2890.7,
28.jpeg,28,,2020-11-22 08:30:00,10.31,52.1,2020-008,GATI,ARB,2020-11-22 09:00:00,10.4,52.0,65.0,982.0,0.5,15.0,1,2762.6,False,,3356.6,
36(2).jpeg,36,,2019-12-03 04:00:00,6.97,56.51,2019-010,PAWAN,ARB,2019-12-03 12:00:00,7.0,56.5,30.0,1000.0,8.0,3.5,4,2929.5,False,,3013.0,
