base_id,split,modality,filename,reconstruction_error,is_anomaly
36,train,raw,36.jpg,0.1815632,False
43,test,raw,43(2).jpg,0.18156043,False
62,train,raw,62.jpg,0.17958586,False
57,train,raw,57.jpg,0.17903458,False
45,train,infrared,45(4).jpg,0.17655939,False
82,test,raw,82(1).jpg,0.17571858,False
85,train,raw,85(1).jpg,0.17554282,False
115,test,raw,115.jpg,0.17459373,False
45,train,raw,45(4).jpg,0.17042634,False
36,train,raw,36(2).jpg,0.16381367,False
48,train,raw,48.jpg,0.16365315,False
46,train,infrared,46(1).jpg,0.16324289,False
41,val,infrared,41.jpg,0.16028294,False
111,test,raw,111.jpg,0.15953426,False
59,train,raw,59(2).jpg,0.15951131,False
27,val,raw,27.jpg,0.15918703,False
30,train,infrared,30(1).jpg,0.15745968,False
63,train,raw,63(1).jpg,0.15704925,False
86,train,infrared,86(1).jpg,0.1568459,False
42,val,infrared,42(3).jpg,0.15672678,False
47,train,raw,47(3).jpg,0.15662871,False
45,train,infrared,45.jpg,0.15557973,False
83,test,raw,83(1).jpg,0.15425207,False
34,test,raw,34(!).jpg,0.15359907,False
31,val,raw,31.jpg,0.15271743,False
85,train,raw,85(2).jpg,0.15075293,False
30,train,raw,30.jpg,0.14937073,False
69,test,infrared,69.jpg,0.14918204,False
52,train,raw,52.jpg,0.14884739,False
84,val,raw,84.jpg,0.14814325,False
84,val,raw,84 2.jpg,0.14669713,False
52,train,infrared,52(1).jpg,0.1464742,False
59,train,infrared,59(2).jpg,0.14618124,False
54,val,infrared,54.jpg,0.14605376,False
44,train,infrared,44(3).jpg,0.14580618,False
55,train,infrared,55.jpg,0.1455741,False
74,train,raw,74.jpg,0.14505118,False
69,test,raw,69.jpg,0.14399089,False
60,train,raw,60.jpg,0.14319773,False
51,val,infrared,51.jpg,0.14314227,False
54,val,raw,54 2.jpg,0.14262094,False
35,train,raw,35(2).jpg,0.14066543,False
67,val,infrared,67.jpg,0.140111,False
46,train,raw,46(3).jpg,0.13905749,False
35,train,raw,35(1).jpg,0.13902655,False
54,val,raw,54.jpg,0.13860662,False
34,test,infrared,34.jpg,0.13682339,False
36,train,raw,36(3).jpg,0.13633285,False
59,train,raw,59_LUBAN.jpg,0.13601734,False
86,train,raw,86(1).jpg,0.13586466,False
59,train,raw,59_LUBAN 2.jpg,0.13409285,False
61,train,infrared,61(1).jpg,0.1322582,False
56,train,raw,56.jpg,0.12949862,False
32,train,raw,32.jpg,0.12928537,False
59,train,raw,59(1).jpg,0.12833464,False
82,test,raw,82.jpg,0.125568,False
61,train,infrared,61.jpg,0.12525429,False
81,test,raw,81.jpg,0.12475754,False
35,train,infrared,35(3).jpg,0.124422915,False
53,train,infrared,53.jpg,0.1240517,False
64,train,infrared,64(2).jpg,0.12368994,False
53,train,raw,53(3).jpg,0.12339108,False
43,test,infrared,43.jpg,0.12305351,False
85,train,raw,85.jpg,0.12265024,False
28,test,raw,28.jpg,0.12259001,False
115,test,infrared,115.jpg,0.121222004,False
27,val,infrared,27.jpg,0.120748445,False
42,val,infrared,42.jpg,0.12014908,False
101,val,raw,101.jpg,0.11957316,False
35,train,infrared,35(1).jpg,0.118994094,False
40,train,infrared,40(3).jpg,0.11891448,False
86,train,raw,86.jpg,0.11876566,False
38,train,infrared,38.jpg,0.118043855,False
42,val,raw,42(3).jpg,0.11777764,False
81,test,raw,81 2.jpg,0.11756258,False
56,train,infrared,56.jpg,0.11697519,False
75,val,raw,75.jpg,0.11677051,False
40,train,infrared,40.jpg,0.11609145,False
45,train,raw,45(3).jpg,0.11520362,False
60,train,infrared,60.jpg,0.115071505,False
30,train,infrared,30.jpg,0.113992855,False
47,train,raw,47(2).jpg,0.11319971,False
68,test,infrared,68.jpg,0.11015963,False
59,train,infrared,59(3).jpg,0.10974631,False
57,train,infrared,57.jpg,0.108285494,False
86,train,infrared,86(2).jpg,0.10677329,False
55,train,raw,55.JPEG,0.10669998,False
64,train,raw,64(1).jpg,0.10548261,False
84,val,infrared,84.jpg,0.10144098,False
64,train,infrared,64.jpg,0.1012335,False
65,train,raw,65(3).jpg,0.10105729,False
49,train,infrared,49(2).jpg,0.10101514,False
50,train,infrared,50(2).jpg,0.10016238,False
59,train,raw,59.jpg,0.098934874,False
59,train,infrared,59(1).jpg,0.0986182,False
60,train,infrared,60(2).jpg,0.098142974,False
35,train,infrared,35(2).jpg,0.097954996,False
84,val,infrared,84(1).jpg,0.09484523,False
61,train,infrared,61(2).jpg,0.0944384,False
28,test,infrared,28.jpg,0.094395794,False
44,train,raw,44(3).jpg,0.09356087,False
50,train,raw,50.jpg,0.091869004,False
44,train,infrared,44(2).jpg,0.09127526,False
32,train,infrared,32.jpg,0.09085839,False
43,test,infrared,43(2).jpg,0.08769879,False
48,train,infrared,48.jpg,0.08693237,False
44,train,infrared,44.jpg,0.08645984,False
62,train,infrared,62.jpg,0.08643844,False
81,test,infrared,81.jpg,0.0863435,False
40,train,infrared,40(2).jpg,0.08617498,False
48,train,raw,48(1).jpg,0.08480611,False
68,test,raw,68.jpg,0.08392739,False
74,train,raw,74(2).jpg,0.08279572,False
82,test,infrared,82.jpg,0.082470976,False
63,train,infrared,63(1).jpg,0.08154116,False
37,test,raw,37.jpg,0.07915487,False
36,train,infrared,36(1).jpg,0.078907765,False
50,train,raw,50(2).jpg,0.07790867,False
52,train,infrared,52.jpg,0.077738404,False
74,train,infrared,74.jpg,0.07556125,False
69,test,raw,69(1).jpg,0.07459373,False
33,train,raw,33(1).jpg,0.074463554,False
58,train,raw,58.jpg,0.0736108,False
94,train,raw,94.jpg,0.07324969,False
59,train,infrared,59.jpg,0.07119979,False
36,train,infrared,36.jpg,0.06506098,False
45,train,infrared,45(1).jpg,0.06369407,False
60,train,raw,60(2).jpg,0.062892705,False
45,train,infrared,45(2).jpg,0.06223841,False
44,train,raw,44.jpg,0.06177144,False
106,train,infrared,106.jpg,0.0610102,False
58,train,infrared,58.jpg,0.06084005,False
111,test,infrared,111.jpg,0.05691498,False
99,val,infrared,99.jpg,0.056641705,False
58,train,infrared,58(1).jpg,0.054499704,False
35,train,raw,35.jpg,0.05422806,False
48,train,raw,48(3).jpg,0.050081465,False
25,train,infrared,25.jpg,0.04951953,False
32,train,raw,32(1).jpg,0.04927955,False
37,test,infrared,37.jpg,0.047580365,False
85,train,infrared,85(2).jpg,0.047375847,False
94,train,infrared,94.jpg,0.043402202,False
99,val,raw,99.jpg,0.040140085,False
46,train,infrared,46(3).jpg,0.038558286,False
77,val,infrared,77(1).jpg,0.037712414,False
128,test,infrared,128.jpg,0.037300196,False
46,train,raw,46.jpg,0.036069088,False
48,train,infrared,48(3).jpg,0.03557695,False
77,val,raw,77(1).jpg,0.0349993,False
35,train,infrared,35.jpg,0.034469787,False
50,train,infrared,50.jpg,0.033367492,False
86,train,infrared,86.jpg,0.029242177,False
85,train,infrared,85(1).jpg,0.026580662,False
65,train,infrared,65.jpg,0.0247395,False
64,train,infrared,64(1).jpg,0.022487946,False
