base_id,split,n_raw,n_infrared,raw_files,infrared_files,paired_files,unpaired_raw,unpaired_infrared
45,train,5,5,"['45(1).jpg', '45(2).jpg', '45(3).jpg', '45(4).jpg', '45.jpg']","['45(1).jpg', '45(2).jpg', '45(3).jpg', '45(4).jpg', '45.jpg']","[('45(1).jpg', '45(1).jpg'), ('45(2).jpg', '45(2).jpg'), ('45(3).jpg', '45(3).jpg'), ('45(4).jpg', '45(4).jpg'), ('45.jpg', '45.jpg')]",[],[]
46,train,3,3,"['46(1).jpg', '46(3).jpg', '46.jpg']","['46(1).jpg', '46(3).jpg', '46.jpg']","[('46(1).jpg', '46(1).jpg'), ('46(3).jpg', '46(3).jpg'), ('46.jpg', '46.jpg')]",[],[]
47,train,5,5,"['47(1).jpg', '47(2).jpg', '47(3).jpg', '47(4).jpg', '47.jpg']","['47(1).jpg', '47(2).jpg', '47(3).jpg', '47(4).jpg', '47.jpg']","[('47(1).jpg', '47(1).jpg'), ('47(2).jpg', '47(2).jpg'), ('47(3).jpg', '47(3).jpg'), ('47(4).jpg', '47(4).jpg'), ('47.jpg', '47.jpg')]",[],[]
48,train,4,4,"['48(1).jpg', '48(2).jpg', '48(3).jpg', '48.jpg']","['48(1).jpg', '48(2).jpg', '48(3).jpg', '48.jpg']","[('48(1).jpg', '48(1).jpg'), ('48(2).jpg', '48(2).jpg'), ('48(3).jpg', '48(3).jpg'), ('48.jpg', '48.jpg')]",[],[]
49,train,3,3,"['49(1).jpg', '49(2).jpg', '49.jpg']","['49(1).jpg', '49(2).jpg', '49.jpg']","[('49(1).jpg', '49(1).jpg'), ('49(2).jpg', '49(2).jpg'), ('49.jpg', '49.jpg')]",[],[]
50,train,3,3,"['50(1).jpg', '50(2).jpg', '50.jpg']","['50(1).jpg', '50(2).jpg', '50.jpg']","[('50(1).jpg', '50(1).jpg'), ('50(2).jpg', '50(2).jpg'), ('50.jpg', '50.jpg')]",[],[]
51,val,2,2,"['51(1).jpg', '51.jpg']","['51(1).jpg', '51.jpg']","[('51(1).jpg', '51(1).jpg'), ('51.jpg', '51.jpg')]",[],[]
52,train,2,2,"['52(1).jpg', '52.jpg']","['52(1).jpg', '52.jpg']","[('52(1).jpg', '52(1).jpg'), ('52.jpg', '52.jpg')]",[],[]
53,train,4,4,"['53(1).jpg', '53(2).jpg', '53(3).jpg', '53.jpg']","['53(1).jpg', '53(2).jpg', '53(3).jpg', '53.jpg']","[('53(1).jpg', '53(1).jpg'), ('53(2).jpg', '53(2).jpg'), ('53(3).jpg', '53(3).jpg'), ('53.jpg', '53.jpg')]",[],[]
54,val,2,1,"['54 2.jpg', '54.jpg']",['54.jpg'],"[('54.jpg', '54.jpg')]",['54 2.jpg'],[]
55,train,2,2,"['55(2).jpg', '55.JPEG']","['55(2).jpg', '55.jpg']","[('55(2).jpg', '55(2).jpg'), ('55.JPEG', '55.jpg')]",[],[]
56,train,1,1,['56.jpg'],['56.jpg'],"[('56.jpg', '56.jpg')]",[],[]
57,train,3,3,"['57(1).jpg', '57(2).jpg', '57.jpg']","['57(1).jpg', '57(2).jpg', '57.jpg']","[('57(1).jpg', '57(1).jpg'), ('57(2).jpg', '57(2).jpg'), ('57.jpg', '57.jpg')]",[],[]
58,train,2,2,"['58(1).jpg', '58.jpg']","['58(1).jpg', '58.jpg']","[('58(1).jpg', '58(1).jpg'), ('58.jpg', '58.jpg')]",[],[]
59,train,5,4,"['59(1).jpg', '59(2).jpg', '59.jpg', '59_LUBAN 2.jpg', '59_LUBAN.jpg']","['59(1).jpg', '59(2).jpg', '59(3).jpg', '59.jpg']","[('59(1).jpg', '59(1).jpg'), ('59(2).jpg', '59(2).jpg'), ('59.jpg', '59.jpg'), ('59_LUBAN.jpg', '59(3).jpg')]",['59_LUBAN 2.jpg'],[]
60,train,3,3,"['60(1).jpg', '60(2).jpg', '60.jpg']","['60(1).jpg', '60(2).jpg', '60.jpg']","[('60(1).jpg', '60(1).jpg'), ('60(2).jpg', '60(2).jpg'), ('60.jpg', '60.jpg')]",[],[]
61,train,3,3,"['61(1).jpg', '61(2).jpg', '61.jpg']","['61(1).jpg', '61(2).jpg', '61.jpg']","[('61(1).jpg', '61(1).jpg'), ('61(2).jpg', '61(2).jpg'), ('61.jpg', '61.jpg')]",[],[]
62,train,1,1,['62.jpg'],['62.jpg'],"[('62.jpg', '62.jpg')]",[],[]
63,train,3,3,"['63(1).jpg', '63(2).jpg', '63.jpg']","['63(1).jpg', '63(2).jpg', '63.jpg']","[('63(1).jpg', '63(1).jpg'), ('63(2).jpg', '63(2).jpg'), ('63.jpg', '63.jpg')]",[],[]
64,train,3,3,"['64(1).jpg', '64(2).jpg', '64.jpg']","['64(1).jpg', '64(2).jpg', '64.jpg']","[('64(1).jpg', '64(1).jpg'), ('64(2).jpg', '64(2).jpg'), ('64.jpg', '64.jpg')]",[],[]
65,train,3,3,"['65(2).jpg', '65(3).jpg', '65.jpg']","['65(2).jpg', '65(3).jpg', '65.jpg']","[('65(2).jpg', '65(2).jpg'), ('65(3).jpg', '65(3).jpg'), ('65.jpg', '65.jpg')]",[],[]
67,val,3,2,"['67 2.jpg', '67(1).jpg', '67.jpg']","['67(1).jpg', '67.jpg']","[('67(1).jpg', '67(1).jpg'), ('67.jpg', '67.jpg')]",['67 2.jpg'],[]
68,test,2,1,"['68(1).jpg', '68.jpg']",['68.jpg'],"[('68.jpg', '68.jpg')]",['68(1).jpg'],[]
69,test,2,2,"['69(1).jpg', '69.jpg']","['69(1).jpg', '69.jpg']","[('69(1).jpg', '69(1).jpg'), ('69.jpg', '69.jpg')]",[],[]
70,val,1,1,['70.jpg'],['70.jpg'],"[('70.jpg', '70.jpg')]",[],[]
73,val,1,1,['73.jpg'],['73.jpg'],"[('73.jpg', '73.jpg')]",[],[]
74,train,3,3,"['74(1).jpg', '74(2).jpg', '74.jpg']","['74(1).jpg', '74(2).jpg', '74.jpg']","[('74(1).jpg', '74(1).jpg'), ('74(2).jpg', '74(2).jpg'), ('74.jpg', '74.jpg')]",[],[]
75,val,1,1,['75.jpg'],['75.jpg'],"[('75.jpg', '75.jpg')]",[],[]
77,val,2,2,"['77(1).jpg', '77.jpg']","['77(1).jpg', '77.jpg']","[('77(1).jpg', '77(1).jpg'), ('77.jpg', '77.jpg')]",[],[]
81,test,2,2,"['81 2.jpg', '81.jpg']","['81(1).jpg', '81.jpg']","[('81.jpg', '81.jpg'), ('81 2.jpg', '81(1).jpg')]",[],[]
82,test,2,2,"['82(1).jpg', '82.jpg']","['82(1).jpg', '82.jpg']","[('82(1).jpg', '82(1).jpg'), ('82.jpg', '82.jpg')]",[],[]
83,test,1,1,['83(1).jpg'],['83(1).jpg'],"[('83(1).jpg', '83(1).jpg')]",[],[]
84,val,2,2,"['84 2.jpg', '84.jpg']","['84(1).jpg', '84.jpg']","[('84.jpg', '84.jpg'), ('84 2.jpg', '84(1).jpg')]",[],[]
85,train,3,3,"['85(1).jpg', '85(2).jpg', '85.jpg']","['85(1).jpg', '85(2).jpg', '85.jpg']","[('85(1).jpg', '85(1).jpg'), ('85(2).jpg', '85(2).jpg'), ('85.jpg', '85.jpg')]",[],[]
86,train,3,3,"['86(1).jpg', '86(2).jpg', '86.jpg']","['86(1).jpg', '86(2).jpg', '86.jpg']","[('86(1).jpg', '86(1).jpg'), ('86(2).jpg', '86(2).jpg'), ('86.jpg', '86.jpg')]",[],[]
87,train,1,1,['87.jpg'],['87.jpg'],"[('87.jpg', '87.jpg')]",[],[]
94,train,1,1,['94.jpg'],['94.jpg'],"[('94.jpg', '94.jpg')]",[],[]
98,test,1,1,['98.jpg'],['98.jpg'],"[('98.jpg', '98.jpg')]",[],[]
99,val,1,1,['99.jpg'],['99.jpg'],"[('99.jpg', '99.jpg')]",[],[]
101,val,1,1,['101.jpg'],['101.jpg'],"[('101.jpg', '101.jpg')]",[],[]
102,train,1,1,['102.jpg'],['102.jpg'],"[('102.jpg', '102.jpg')]",[],[]
106,train,1,1,['106.jpg'],['106.jpg'],"[('106.jpg', '106.jpg')]",[],[]
111,test,1,1,['111.jpg'],['111.jpg'],"[('111.jpg', '111.jpg')]",[],[]
112,test,1,1,['112.jpg'],['112.jpg'],"[('112.jpg', '112.jpg')]",[],[]
115,test,1,1,['115.jpg'],['115.jpg'],"[('115.jpg', '115.jpg')]",[],[]
118,val,1,1,['118.jpg'],['118.jpg'],"[('118.jpg', '118.jpg')]",[],[]
119,test,1,1,['119.jpg'],['119.jpg'],"[('119.jpg', '119.jpg')]",[],[]
128,test,1,1,['128.jpg'],['128.jpg'],"[('128.jpg', '128.jpg')]",[],[]
